post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,v_fisica,v_financeira,ativos
284,BBRC11,1.0700,1.0600,1.0833,3.2500,1.0550,6.3300,1.0208,12.2500,7.1391,6.5205,8.2747,101.0000,5.3400,2023,0.9285,106.6200,-0.0902,169528869.4500,9.2997,0.8375,2.7831,0.9277,5.5627,0.9271,,,Agências de Bancos,agencias-de-bancos,104.99,116932.61,171960410.21,0.9708,0.9847120615269179,BBRC11,,,20
161,BCFF11,0.5600,0.8100,0.8400,2.5200,0.8583,5.1500,0.8383,10.0600,1.7621,9.5933,2.5864,69.3000,4.3000,2023,0.7410,75.5700,-3.0284,1903260829.6700,1.3018,-2.3098,2.1747,0.7249,4.3573,0.7262,,,Fundo de Fundos,fundo-de-fundos,68.14,2218845.13,1872416798.39,0.9166,0.9016805610692075,BCFF11,,,0
255,BCIA11,0.8000,0.9000,0.9300,2.7900,0.9233,5.5400,0.8867,10.6400,4.7949,9.8885,5.7381,89.1700,4.6500,2023,0.7513,101.1593,-5.6553,376215413.9700,4.6548,-4.9465,2.1610,0.7203,4.2823,0.7137,,,Fundo de Fundos,fundo-de-fundos,96.61,1131886.26,386633870.47,0.9293,0.9550283562658104,BCIA11,,,0
221,BCRI11,0.8000,1.0000,1.0433,3.1300,1.0117,6.0700,1.0775,12.9300,16.9420,-11.7994,18.1114,80.0000,4.9800,2023,0.9926,100.7427,-0.9316,630434754.7600,6.2077,0.0518,3.0389,1.0130,6.9176,1.1529,,,Papéis,papeis,78.99,697972.13,614619618.42,0.8042,0.7840766626266716,BCRI11,,,0
1844,BDIF11,1.2000,1.3300,1.3000,3.9000,1.2333,7.4000,1.4092,16.9100,3.4003,8.7752,4.7756,90.0100,6.2600,2023,,,,,,,,,,,,,Fundo de Desenvolvimento,fundo-de-desenvolvimento,90.9,1172013.55,0,0,,BDIF11,,,
422,BICE11,10.0000,0.0000,0.0000,0.0000,0.2167,1.3000,0.1673,1.8400,0.0000,,0.0000,,1.3000,2023,1.5720,1017.8031,5.0614,21446128.2500,8.1873,6.7130,,,,,,,Fundo de Fundos,fundo-de-fundos,980,9341.33,69066752.65,1.0114,0.9628581402434322,BICE11,,,0
142,BICR11,1.1800,0.0000,0.3400,1.0200,0.4267,2.5600,0.5650,6.7800,0.0000,,0.0000,,2.5600,2023,1.1086,99.2244,-1.6425,49612197.0100,8.6742,-0.5521,2.8363,0.9454,4.8084,0.8014,,,Papéis,papeis,100,925.57,48083086.49,1.0027,1.0078166257493115,BICR11,,,0
1860,BIDB11,0.9100,1.0100,1.1700,3.5100,1.1783,7.0700,1.0033,12.0400,1.7062,9.4048,2.7334,90.0100,5.8400,2023,,,,,,,,,,,,,Fundo de Desenvolvimento,fundo-de-desenvolvimento,87.96,144803.58,0,0,,BIDB11,,,
52,BIME11,0.0900,1.2000,1.2733,3.8200,1.1400,6.8400,1.1400,13.6800,7.4180,3.8650,8.7070,7.5300,5.9300,2023,0.6662,9.0057,-0.7092,52643597.3600,6.1088,-0.0477,1.9874,0.6625,6.8362,1.1394,,,Indefinido,indefinido,7.43,83969.39,51385862.72,0.8453,0.825033034633621,BIME11,,,2
119,BLCA11,0.5700,0.4100,0.1367,0.4100,0.1733,1.0400,0.1900,2.2800,0.0000,,0.0000,138.0000,1.0400,2023,0.6274,89.2600,-0.3189,142810647.6900,-12.4675,0.3065,1.8701,0.6234,,,,,Indefinido,indefinido,137,137465.1,219374213.05,0.9992,1.5348420345059377,BLCA11,,,1
